regiao,ICR_SM,ICR_renda_UF
Centro-Oeste,6.304161783728092,1.7582921505255114
Nordeste,4.569698193135977,1.766709968786048
Norte,4.963114871522234,1.5954720809096778
Sudeste,5.881053212595508,1.5089908435711017
Sul,7.443717836081659,1.7999139894748457
