metodo,MAE,RMSE,N_teste
Gradient Boosting (ML),0.5633882841625653,1.2830776620346798,29171
Random Forest (ML),0.5407506059341545,1.29212943604335,29171
Persistencia (repete ultimo valor),0.48264289226303075,1.2588939752203188,29171
Extrapolacao linear por municipio,1.964842155994951,2.888341306787305,28536
