id_municipio,projecao_2033_esgoto,inclinacao_esgoto_aa,n_obs_esgoto,classificacao_2033_esgoto,sigla_uf,regiao,porte,populacao_urbana
1301209,,,0.0,,AM,Norte,50-100 mil,56676.0
1301308,,,0.0,,AM,Norte,20-50 mil,20223.0
1301407,,,0.0,,AM,Norte,20-50 mil,26110.0
1301506,,,0.0,,AM,Norte,5-20 mil,13400.0
1301605,,,0.0,,AM,Norte,5-20 mil,10870.0
1301654,7.012363636363588,0.06054545454544795,11.0,will_not_meet,AM,Norte,5-20 mil,9138.0
1301704,,,0.0,,AM,Norte,20-50 mil,39444.0
1301803,1.1733333333333533,0.03000000000000109,3.0,will_not_meet,AM,Norte,5-20 mil,13306.0
1301852,,,0.0,,AM,Norte,20-50 mil,35330.0
1301902,,,0.0,,AM,Norte,50-100 mil,69681.0
1301951,,,0.0,,AM,Norte,<5 mil,4327.0
1302009,,,0.0,,AM,Norte,5-20 mil,7316.0
1302108,,,0.0,,AM,Norte,,
1302207,,,0.0,,AM,Norte,5-20 mil,8156.0
1302306,,,0.0,,AM,Norte,5-20 mil,10552.0
1302405,,,1.0,,AM,Norte,20-50 mil,30618.0
1302504,,,0.0,,AM,Norte,50-100 mil,70402.0
1302553,,,0.0,,AM,Norte,5-20 mil,10525.0
1302603,39.597644898325825,0.6024294544477476,21.0,will_not_meet,AM,Norte,500 mil+,2244470.0
1302702,,,0.0,,AM,Norte,20-50 mil,24845.0
1302801,,,0.0,,AM,Norte,<5 mil,4680.0
1302900,,,2.0,,AM,Norte,20-50 mil,32164.0
1303007,,,0.0,,AM,Norte,5-20 mil,8326.0
1303106,78.30343373494452,3.179216867470114,5.0,will_not_meet,AM,Norte,5-20 mil,17163.0
1303205,,,0.0,,AM,Norte,5-20 mil,13158.0
1303304,,,0.0,,AM,Norte,5-20 mil,17349.0
1303403,,,0.0,,AM,Norte,50-100 mil,79758.0
1303502,,,0.0,,AM,Norte,5-20 mil,9907.0
1303536,44.49847715736175,0.030065264684626166,11.0,will_not_meet,AM,Norte,5-20 mil,18225.0
1303569,,,0.0,,AM,Norte,5-20 mil,16541.0
1303601,,,0.0,,AM,Norte,5-20 mil,10037.0
1303700,,,1.0,,AM,Norte,5-20 mil,12364.0
1303809,,,0.0,,AM,Norte,20-50 mil,23647.0
1303908,,,0.0,,AM,Norte,5-20 mil,18537.0
1303957,,,0.0,,AM,Norte,5-20 mil,7915.0
1304005,,,0.0,,AM,Norte,<5 mil,4432.0
1304062,,,0.0,,AM,Norte,20-50 mil,47643.0
1304104,,,0.0,,AM,Norte,5-20 mil,9393.0
1304203,,,0.0,,AM,Norte,20-50 mil,48274.0
1304237,150.0,20.42357142857137,4.0,on_track,AM,Norte,5-20 mil,9920.0
1304260,,,0.0,,AM,Norte,5-20 mil,7908.0
1304302,,,0.0,,AM,Norte,5-20 mil,9257.0
